Lambda  loss
1.00177824497e-05      0.354705
9.84167890743e-06      -1.86376
9.85175743166e-06      -1.86529
9.86183595589e-06      -1.86792
9.87191448011e-06       -1.8695
9.88199300434e-06      -1.87214
9.89207152857e-06      -1.87453
9.90215005279e-06      -1.87666
9.91222857702e-06      -1.87879
9.92230710125e-06      -1.88117
9.93238562547e-06       -1.8832
9.9424641497e-06      -1.88638
9.95254267393e-06      -1.88808
9.96262119815e-06      -1.89007
9.97269972238e-06      -1.89265
9.98277824661e-06      -1.89498
9.99285677084e-06      -1.89733
1.00029352951e-05      0.354705
1.00130138193e-05      0.354705
1.00230923435e-05      0.354704
1.00331708677e-05      0.354704
1.0043249392e-05      0.354703
1.00533279162e-05      0.354703
1.00634064404e-05      0.354702
1.00734849646e-05      0.354702
1.00835634889e-05      0.354701
1.00936420131e-05      0.354701
1.01037205373e-05        0.3547
1.01137990616e-05        0.3547
1.01238775858e-05      0.354699
1.013395611e-05      0.354699
1.01440346342e-05      0.354698
1.01541131585e-05      0.354698
9.83671838379e-06      -1.86209
9.84679182812e-06      -1.86455
9.85686527244e-06      -1.86679
9.86693871677e-06      -1.86864
9.87701216109e-06      -1.87118
9.88708560542e-06      -1.87353
9.89715904974e-06      -1.87558
9.90723249407e-06      -1.87777
9.91730593839e-06      -1.87985
9.92737938272e-06      -1.88207
9.93745282705e-06      -1.88479
9.94752627137e-06      -1.88731
9.9575997157e-06      -1.88912
9.96767316002e-06      -1.89139
9.97774660435e-06      -1.89438
9.98782004867e-06       -1.8962
9.997893493e-06      -1.89814
1.00079669373e-05      0.354705
1.00180403816e-05      0.354705
1.0028113826e-05      0.354704
1.00381872703e-05      0.354704
1.00482607146e-05      0.354703
1.0058334159e-05      0.354703
1.00684076033e-05      0.354702
1.00784810476e-05      0.354702
1.00885544919e-05      0.354701
1.00986279363e-05      0.354701
1.01087013806e-05        0.3547
1.01187748249e-05        0.3547
1.01288482692e-05      0.354699
1.01389217136e-05      0.354699
1.01489951579e-05      0.354698
9.84167640717e-06      -1.86315
9.85175492884e-06      -1.86544
9.8618334505e-06      -1.86795
9.87191197217e-06      -1.87032
9.88199049384e-06      -1.87237
9.8920690155e-06      -1.87442
9.90214753717e-06      -1.87625
9.91222605883e-06      -1.87878
9.9223045805e-06      -1.88126
9.93238310217e-06      -1.88358
9.94246162383e-06      -1.88592
9.9525401455e-06      -1.88787
9.96261866717e-06      -1.89002
9.97269718883e-06      -1.89256
9.9827757105e-06      -1.89487
9.99285423216e-06      -1.89706
1.00029327538e-05      0.354705
1.00130112755e-05      0.354705
1.00230897972e-05      0.354704
1.00331683188e-05      0.354704
1.00432468405e-05      0.354703
1.00533253622e-05      0.354703
1.00634038838e-05      0.354702
1.00734824055e-05      0.354702
1.00835609272e-05      0.354701
1.00936394488e-05      0.354701
1.01037179705e-05        0.3547
1.01137964922e-05        0.3547
1.01238750138e-05      0.354699
1.01339535355e-05      0.354699
1.01440320572e-05      0.354698
1.01541105788e-05      0.354698
9.83671588479e-06      -1.86222
9.84678932655e-06      -1.86432
9.85686276832e-06      -1.86664
9.86693621009e-06      -1.86885
9.87700965185e-06      -1.87131
9.88708309362e-06      -1.87337
9.89715653539e-06      -1.87566
9.90722997715e-06      -1.87768
9.91730341892e-06      -1.88005
9.92737686068e-06      -1.88247
9.93745030245e-06      -1.88449
9.94752374422e-06      -1.88695
9.95759718598e-06      -1.88904
9.96767062775e-06      -1.89115
9.97774406952e-06      -1.89377
9.98781751128e-06      -1.89598
9.99789095305e-06      -1.89795
